customer_id,customer_name,industry,region,revenue,last_contact_date,satisfaction_score
1001,北京科技有限公司,信息技术,北京,1200000,2023-08-15,4.5
1002,上海制造企业,制造业,上海,800000,2023-08-20,4.2
1003,广州贸易公司,贸易,广州,600000,2023-08-25,3.8
1004,深圳创新科技,信息技术,深圳,1500000,2023-09-01,4.7
1005,成都餐饮集团,餐饮业,成都,300000,2023-09-05,4.0
1006,杭州电商平台,电子商务,杭州,2000000,2023-09-10,4.8
1007,西安教育机构,教育,西安,400000,2023-09-12,4.1
1008,青岛物流公司,物流,青岛,900000,2023-09-15,3.9
1009,重庆房地产,房地产,重庆,1800000,2023-09-18,4.3
1010,南京医疗设备,医疗,南京,1100000,2023-09-20,4.6
